Book ID,Books,Checkout,Returned,Borrow Allowance (Weeks),Customer ID
1,Catcher In The Rye ,2023-02-20,2023-02-25,2,1
2,Lord Of The Rings The Two Towers,2023-03-24,2023-03-21,2,2
3,Lord Of The Rings The Return Of The Kind,2023-03-29,2023-03-25,2,3
4,The Hobbit,2023-04-02,2023-03-25,2,4
5,Dune ,2023-04-02,2023-03-25,2,5
6,Little Women,2023-04-02,2023-05-01,2,1
7,It,2063-04-10,2023-04-03,2,6
8,Misery ,2023-04-15,2023-04-03,2,7
9,Catch 22,2023-04-15,2023-04-16,2,7
10,Animal Farm ,2023-04-20,2023-04-24,2,2
11,1984,2023-04-23,2023-04-27,2,8
12,Little Women,2023-04-02,2023-05-01,2,1
13,East Of Eden,2023-04-30,2023-05-05,2,2
14,America Is In The Heart,2023-05-01,2023-05-07,2,3
15,Wuthering Heights,2023-05-01,2023-05-10,2,9
16,Dark Tales,2023-05-15,2023-06-01,2,2
17,The Bloody Chamber,2023-06-04,2023-06-04,2,3
18,Les Miserables,2023-06-03,2023-06-07,2,5
19,Dracula,2023-06-10,2023-07-10,2,10
20,Frankenstein,2023-06-01,2023-06-20,2,2
21,Missing Book Title,2023-06-01,2023-06-05,2,0
